,time,timestamp,RabbitX,GMX_Arbitrum,dYdX
156,2024-01-06,1704499200,54685388.7907,3882009.9613066954,2511442999.999998
157,2024-01-05,1704412800,289577902.1615,29964948.715260703,8488874300.000303
158,2024-01-04,1704326400,245283713.6631,47789277.25679704,7441839200.000229
159,2024-01-03,1704240000,253565299.0846,52404668.21030095,15866864099.99994
160,2024-01-02,1704153600,239049218.9539,48453486.85190851,10588534900.000334
161,2024-01-01,1704067200,80342995.8712,26544225.57435185,4230756000.000045
162,2023-12-31,1703980800,59110679.7762,11376366.474562362,3837322100.000041
163,2023-12-30,1703894400,70444043.3684,4944010.028084601,4061970599.999977
164,2023-12-29,1703808000,169707100.9943,11792078.93784327,6535012900.000092
165,2023-12-28,1703721600,133457983.13,22066667.408582903,4631266000.000045
166,2023-12-27,1703635200,112089422.8649,15842933.35602139,4524037200.0001335
167,2023-12-26,1703548800,135701297.6942,32236548.26492631,6965135300.000204
168,2023-12-25,1703462400,84188254.1857,24335319.97729487,3804181799.9999914
169,2023-12-24,1703376000,56422901.104,29230517.8663014,3339390700.0000005
170,2023-12-23,1703289600,38194313.2287,9780860.381215809,3184509799.999998
171,2023-12-22,1703203200,125800443.3306,3832189.469469693,4923729000.0001
172,2023-12-21,1703116800,156791393.1096,20468001.74321636,6813424800.00019
173,2023-12-20,1703030400,172112046.7163,22153539.121880643,9312272200.000391
174,2023-12-19,1702944000,140877808.3641,6947864.921445782,8072399900.000453
175,2023-12-18,1702857600,157254555.1482,13404922.607600056,10148804500.000206
176,2023-12-17,1702771200,67488154.1958,23052489.643037964,5639209100.000054
177,2023-12-16,1702684800,47275233.4716,4647023.287009606,3457946600.000062
178,2023-12-15,1702598400,155377828.5175,6257990.882581958,5561855300.0001
179,2023-12-14,1702512000,248320589.7978,20249995.592452586,9792836100.000452
180,2023-12-13,1702425600,192914204.8689,72529974.23705688,10718260100.000238
181,2023-12-12,1702339200,162005684.2862,124708543.24014191,9386742000.000347
182,2023-12-11,1702252800,286641237.6727,119290634.71554229,19393384999.999687
183,2023-12-10,1702166400,39645359.1433,11744761.366166482,4925481800.000144
184,2023-12-09,1702080000,71611882.7392,34138590.92176063,4839979000.000099
185,2023-12-08,1701993600,131814062.4869,59182903.18603768,9207006300.000414
186,2023-12-07,1701907200,186401796.9047,49652669.53591858,10852379300.000338
187,2023-12-06,1701820800,316591736.0711,7534192.606990748,9560484600.000584
188,2023-12-05,1701734400,184347765.485,34331835.4915253,17728874899.99994
189,2023-12-04,1701648000,206641618.4104,64974842.71489639,19810224900.00045
190,2023-12-03,1701561600,33494546.7636,5011584.0426122965,6561606800.00006
191,2023-12-02,1701475200,17562499.5579,20159241.9984674,5641088100.000146
192,2023-12-01,1701388800,47811444.7542,35985588.787316024,
